年份,省份,二氧化碳排放量,,,,,,,,,,,,国内生产总值状况,,,,,,,,,,,,,,,,,,,,,全社会固定资产投资,人口状况,,,
,,煤炭二氧化碳排放量,焦炭二氧化碳排放量,原油二氧化碳排放量,汽油二氧化碳排放量,煤油二氧化碳排放量,柴油二氧化碳排放量,燃料油二氧化碳排放量,液化石油气二氧化碳排放量,天然气二氧化碳排放量,二氧化碳排放总量,人均二氧化碳排放量,二氧化碳排放强度,,,,,,,,,,,,,,,,,,,,,,,,,,
,,万吨,万吨,万吨,万吨,万吨,万吨,万吨,万吨,万吨,万吨,吨/人,吨CO2/万元,地区生产总值(亿元),地区生产总值－第一产业(亿元),地区生产总值－第二产业(亿元),地区生产总值－工业(亿元),地区生产总值－建筑业(亿元),地区生产总值－第三产业(亿元),地区生产总值－交通运输、仓储和邮政业(亿元),地区生产总值－批发和零售业(亿元),地区生产总值－住宿和餐饮业(亿元),地区生产总值－金融业(亿元),地区生产总值－房地产业(亿元),地区生产总值－其他服务业(亿元),第一产业占GDP比重(%)(没有单位),第二产业占GDP比重(%)(没有单位),第三产业占GDP比重(%)(没有单位),人均地区生产总值(元),地区生产总值指数（上年＝100）(没有单位),地区生产总值指数－第一产业（上年＝100）(没有单位),地区生产总值指数－第二产业（上年＝100）(没有单位),地区生产总值指数－第三产业（上年＝100）(没有单位),社会消费品零售总额(亿元),,年底人口数(万人),人口出生率(‰)(没有单位),人口死亡率(‰)(没有单位),人口自然增长率(‰)(没有单位)
1991,青海省,896.1717,7.3602,95.6794,36.5795,3.0372,29.1381,33.9878,,8.4431,1110.397,2.4458,14.786,75.1,17.96,29.84,23.49,6.35,27.3,4.48,7.27,,5.26,0.41,9.88,23.9148,39.7337,36.3515,1647,104.7,101,104.3,108.1,31.99,23.94,454,23.37,8.35,15.02
1991,宁夏回族自治区,1683.8895,59.7982,35.1389,28.9356,1.0023,27.9912,75.1409,,1.5154,1913.412,3.9863,26.657,71.78,17.9,27.77,23.12,4.65,26.1,4.2,6.45,,6.04,0.54,8.88,24.9373,38.6877,36.3611,1511,104.8,102.7,103.2,108.4,28.15,28.81,480,21.96,5.13,16.83
1991,新疆维吾尔自治区,3491.4545,168.6837,1462.7995,203.0175,14.0319,275.1073,285.1865,,108.678,6008.959,3.8643,17.889,335.91,111.86,107.99,84.07,23.91,116.07,22.63,36.88,,15.63,1.12,39.82,33.3006,32.1485,34.5539,2101,114.4,111.2,117,115.7,121.52,124.93,1555,24.45,7.86,16.59
1991,重庆市,,,,,,,,,,,,,374.18,109.49,130.88,113.34,17.54,101.18,17.99,24.95,,17.51,7.23,33.5,29.3,41.2,29.5,1166,109,106.7,109,111.7,,,,,,
1991,西藏自治区,,,,,,,,,,,,,30.53,15.5,4.17,2.27,1.9,10.86,1.73,2.86,,0.63,0.14,5.5,50.7697,13.6587,35.5716,1358,100.5,96.3,108.6,103.6,13.85,10.57,226,23.53,7.4,16.13
1992,中国,,,,,,,,,3437.8612,3437.861,0.0293,0.126,27194.5309,5800.2838,11725.0125,10340.1811,1417.9392,9669.2346,1689.2094,2405.3515,584.5687,1482.149,1099.0852,2309.82,21.3289,43.1153,35.5558,2334.3546,114.2245,104.651,121.034,112.6003,10993.7,8080.1,117171,18.24,6.64,11.6
1992,北京市,,,,,,,,,,,,,709.1,48.67,345.91,292.97,52.94,314.52,35.49,85.41,,64.95,5.58,123.09,6.8636,48.7816,44.3534,6458,111.6,103,112.2,111.9,430.01,266,1102,9.22,6.11,3.11
1992,天津市,,,,,,,,,,,,,411.24,30.26,233.41,212.8,20.61,147.37,35.96,41.51,,22.91,6.29,40.7,7.3582,56.0767,36.565,4481,111.7,100.7,111.5,107.5,181.2,169.88,920,12.5,6,6.5
1992,河北省,,,,,,,,,,,,,1278.5,257.08,573.15,517.75,55.4,448.27,93.85,130.37,,79.8,25.44,118.81,20.1079,44.8299,35.0622,2040,115.6,99.4,120.7,121.4,497.19,335.79,6275,15.33,6.43,8.9
1992,山西省,,,,,,,,,,,,,570,82.94,270.28,240.44,29.85,197.9,43.82,44.3,,46.37,5.55,57.85,15.0494,49.042,35.9087,1862,113.8,112.9,109.4,114.1,240.57,172.79,2979,19.59,6.94,12.65
1992,内蒙古自治区,,,,,,,,,,,,,421.68,126.86,152.56,120.85,31.71,142.26,32.65,35.04,,24.05,4.73,45.79,30.0844,36.1791,33.7365,1906,111,104,115.4,113.8,168.69,149.24,2207,17.07,6.73,10.34
1992,辽宁省,,,,,,,,,,,,,1472.95,194.6,741.9,661.2,80.7,536.5,111.5,167.9,,103.98,19.89,133.23,13.212,50.37,36.4247,3693,112.1,104.2,113.6,113.6,540.6,436.8,4016,12.57,6.11,6.46
1992,吉林省,,,,,,,,,,,,,558.06,130.82,257.01,227.17,29.84,170.23,30.17,41.63,,38.55,8.64,51.24,23.4419,46.0542,30.5039,2246,112.2,101.8,118.2,114,261.47,151.08,2532,15.74,6.57,9.17
1992,黑龙江省,,,,,,,,,,,,,864.04,167,493.1,440,53.1,299.6,49.2,97.4,,51.5,15.6,85.9,17.4013,51.3806,31.2181,2672,106.8,105.8,106.4,107,403,244.2,3608,16.25,6.12,10.13
1992,上海市,,,,,,,,,,,,,1114.32,34.16,677.39,636.68,40.71,402.77,95.92,96.31,,98.93,20.48,91.13,3.0655,60.7895,36.1449,8650,114.9,100.4,117.2,112,464.82,357.38,1345,7.28,6.74,0.54
1992,江苏省,,,,,,,,,,,,,2136.02,393.82,1119.26,1017.94,101.32,622.94,100.55,201.91,,109.27,43.89,167.32,18.4371,52.3993,29.1636,3106,126,110.6,131.9,126.2,704.52,711.7,6911,15.71,6.76,8.95
1992,浙江省,,,,,,,,,,,,,1365.06,262.67,653.43,581.73,71.7,459.6,80.03,174.33,,62.8,33.4,109.04,19.0936,47.498,33.4084,3212,119,100.6,125.2,123.4,493.87,361.18,4236,14.72,6.57,8.15
1992,安徽省,,,,,,,,,,,,,801.16,230.5,333,293,40,237.7,48,67.3,,36.4,19.8,66.2,28.7693,41.5627,29.668,1390,116.8,116.9,118.7,113.7,285.04,214.84,5834,18.76,6.14,12.62
1992,福建省,,,,,,,,,,,,,787.71,194.87,291.6,241.78,49.82,298.21,70.51,79.64,,48.34,18.89,80.83,24.8343,37.1616,38.004,2557,120.3,110.8,128.5,120,289.38,227.55,3116,18.18,6.02,12.16
1992,江西省,,,,,,,,,,,,,572.55,200.81,199.4,168.14,31.26,172.34,31.61,35.8,,38.83,10.23,55.87,35.0729,34.8267,30.1004,1472,114.8,105.8,123,119.2,197.62,125.36,3913,19.53,7.07,12.46
1992,山东省,,,,,,,,,,,,,2196.53,534.62,999.11,889.59,109.52,662.8,120.18,200.93,,112.1,47.6,181.99,24.3393,45.4858,30.1749,2556,116.9,100.2,128.6,116.3,653.23,601.5,8610,11.43,6.88,4.55
1992,河南省,,,,,,,,,,,,,1279.75,353.92,545.21,481.11,64.1,380.62,82.52,84.95,,65.85,32.6,114.7,27.6554,42.6029,29.7417,1452,113.7,101.5,125.4,111.1,414.53,318.83,8862,18.13,6.99,11.14
1992,湖北省,,,,,,,,,,,,,1088.39,303,444.61,402.59,42.02,340.78,56.53,112.25,,48.07,17.22,106.71,27.8393,40.8502,31.3105,1962,114.1,108.2,116.6,116.9,411.51,240.73,5580,19.05,6.87,12.17
1992,湖南省,,,,,,,,,,,,,997.7,323.91,341.73,288.98,52.75,321.34,52.94,107.19,,37.42,21.25,102.54,32.8183,34.6238,32.5579,1595,112.4,103.5,117.3,114.1,393.19,233.39,6267,16.7,7.3,9.4
1992,广东省,,,,,,,,,,,,,2293.54,465.83,1100.32,899.28,201.04,881.39,174.28,236.59,,122.79,81.74,266,19.0326,44.9562,36.0113,3699,122,105.6,133.4,119,984.16,921.75,6525,19.31,6.17,13.14
1992,广西壮族自治区,,,,,,,,,,,,,646.6,233.03,187.48,161.44,26.04,226.09,38.96,74.92,,27.83,12.11,72.27,36.0393,28.9947,34.966,1490,118.3,112.9,128,116.6,243.62,141.04,4380,20.19,7.28,12.91
1992,海南省,,,,,,,,,,,,,181.71,53.59,38.27,20.97,17.29,93.06,11.35,29.56,,6.12,20.57,25.46,28.9801,20.6954,50.3245,2719,140.2,110,137.5,179.4,55.02,87.05,686,21.31,6.07,15.24
1992,重庆市,,,,,,,,,,,,,461.32,117.28,164.58,143.17,21.41,138.32,29.33,38.37,,22.14,7.3,41.18,25.4227,42.1399,32.4374,1427,116.2,101.8,121.4,125.6,,,,,,
1992,四川省,,,,,,,,,,,,,1624.51,372.04,441.57,378.67,62.9,363.66,68.7,111.91,,40.68,24.41,117.96,31.6019,37.508,30.8901,1477,112.6,104.6,120.5,113.1,453.43,304.78,10998,16.27,7.03,9.24
1992,贵州省,,,,,,,,,,,,,339.91,121.18,122.08,106.41,15.67,96.65,19,25.53,,14.51,5.12,32.49,35.6506,35.9154,28.434,1034,108.1,99.3,115,112.6,106.75,78.82,3361,22.4,8.52,13.88
1992,云南省,,,,,,,,,,,,,618.69,186.8,219.03,193.9,25.13,212.86,25.19,73.64,,34.52,10.64,68.87,30.1928,35.4022,34.405,1622,110.9,103,112.8,113.4,204.6,140.69,3832,21,8,13
